Time	"Time Code"	"Country Name"	"Country Code"	"Annual freshwater withdrawals, total (billion cubic meters) [ER.H2O.FWTL.K3]"	"Children out of school, primary [SE.PRM.UNER]"	"CO2 emissions (kt) [EN.ATM.CO2E.KT]"	"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]"	"Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]"	"Population, total [SP.POP.TOTL]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Surface area (sq. km) [AG.SRF.TOTL.K2]"	"Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]"	"Urban population [SP.URB.TOTL]"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%) [SG.VAW.REFU.ZS]"
2013	"YR2013"	"Romania"	"ROU"	"6.418"	""	"70945.449"	"45.7308323083231"	"8.86975536422031"	"75.0634146341463"	"19.096863055474"	"19983693"	"46.063"	"238390"	""	"10778604"	""
2013	"YR2013"	"Russian Federation"	"RUS"	"61"	"140587"	"1778561.006"	"66.2408553795473"	"0.0459535793205111"	"70.5787804878049"	"16.0036751860197"	"143506911"	"26.137"	"17098250"	""	"105998510"	""
2013	"YR2013"	"Rwanda"	"RWA"	""	""	"803.073"	""	""	"65.598"	"53.9182886654367"	"11065151"	"83.053"	"26340"	""	"1875211"	""
2013	"YR2013"	"Samoa"	"WSM"	""	""	"198.018"	""	""	"74.206"	"3.5355184783492"	"190757"	"80.615"	"2840"	""	"36978"	""
2013	"YR2013"	"San Marino"	"SMR"	""	""	""	""	""	""	""	"32303"	"3.63"	"60"	""	"31130"	""
2013	"YR2013"	"Sao Tome and Principe"	"STP"	""	"2894"	"113.677"	""	""	"66.241"	"13.140911509996"	"187045"	"31.792"	"960"	""	"127580"	""
2013	"YR2013"	"Saudi Arabia"	"SAU"	""	"68358"	"541047.515"	"99.9996479083999"	"0.000352091600150695"	"74.066"	"125.960895654439"	"29944476"	"17.26"	"2149690"	""	"24776059"	""
2013	"YR2013"	"Senegal"	"SEN"	""	"585576"	"8423.099"	"87.7843302443134"	"1.76916596461668"	"65.914"	"36.1285810251619"	"14120320"	"54.981"	"196710"	""	"6356827"	"47.4"
2013	"YR2013"	"Serbia"	"SRB"	"4.15"	"10450"	"44884.08"	"73.9312208427869"	"0.0535345552808015"	"75.1853658536585"	"19.4726069952758"	"7164132"	"44.531"	"88360"	""	"3973872"	""
2013	"YR2013"	"Seychelles"	"SYC"	""	""	"403.37"	""	""	"73.119512195122"	"15.1180292239374"	"89949"	"45.463"	"460"	""	"49055"	""
