Time	"Time Code"	"Country Name"	"Country Code"	"Children out of school"	"CO2 emissions (kt)"	"Non-renewable lectricity production (% of total)"	"Renewable electricity production excluding hydroelectric (% of total)"	"Life expectancy (years)"	"Population"	"Rural population"	"Urban population"	"Surface area (sq. km)"
2013	"YR2013"	"Guinea-Bissau"	"GNB"	""	"256.69"	""	""	"56.2"	"1681495"	"986869"	"694626"	"36130"
2013	"YR2013"	"Guyana"	"GUY"	""	"1936.176"	""	""	"66.318"	"758081"	"557948"	"200133"	"214970"
2013	"YR2013"	"Haiti"	"HTI"	""	"2405.552"	"86.6350710900474"	"0"	"62.432"	"10431776"	"5167902"	"5263874"	"27750"
2013	"YR2013"	"Honduras"	"HND"	"208319"	"9064.824"	"53.2449838989348"	"12.8313103789943"	"72.99"	"8657785"	"3994875"	"4662910"	"112490"
2013	"YR2013"	"Hong Kong SAR, China"	"HKG"	"2691"	"45005.091"	"99.7573931252873"	"0.242606874712702"	"83.8317073170732"	"7178900"	"0"	"7178900"	"1100"
2013	"YR2013"	"Hungary"	"HUN"	"15569"	"42141.164"	"39.6157274437952"	"8.50003300983693"	"75.5658536585366"	"9893082"	"2972574"	"6920508"	"93030"
2013	"YR2013"	"Iceland"	"ISL"	"567"	"1899.506"	"0.0275999116802826"	"28.9688672996246"	"82.0609756097561"	"323764"	"20614"	"303150"	"103000"
2013	"YR2013"	"India"	"IND"	"2897747"	"2034752.294"	"80.2235479438281"	"4.96065332607863"	"67.714"	"1278562207"	"869383944"	"409178263"	"3287260"
2013	"YR2013"	"Indonesia"	"IDN"	"1957061"	"490226.562"	"87.6535880107425"	"4.43616331821128"	"68.684"	"252032263"	"121088901"	"130943362"	"1910930"
2013	"YR2013"	"Iran, Islamic Rep."	"IRN"	"90884"	"619778.005"	"92.5600341419176"	"0.151276130379448"	"75.153"	"77435384"	"21453473"	"55981911"	"1745150"
2013	"YR2013"	"Iraq"	"IRQ"	""	"165506.378"	"91.8575194276129"	"0"	"69.219"	"33883145"	"10302170"	"23580975"	"435050"
2013	"YR2013"	"Ireland"	"IRL"	"3141"	"34854.835"	"77.9703066248013"	"19.663734115347"	"81"	"4623816"	"1750530"	"2873286"	"70280"
2013	"YR2013"	"Isle of Man"	"IMN"	""	""	""	""	""	"82013"	"39288"	"42725"	"570"
2013	"YR2013"	"Israel"	"ISR"	"22264"	"67069.43"	"99.068849678745"	"0.885489710055119"	"82.0560975609756"	"8059500"	"642262"	"7417238"	"22070"
2013	"YR2013"	"Italy"	"ITA"	"15393"	"345317.723"	"60.0363309240072"	"20.5752512078469"	"82.690243902439"	"60233948"	"18685173"	"41548775"	"301340"
2013	"YR2013"	"Jamaica"	"JAM"	""	"8093.069"	"90.1577761081893"	"6.93713999499123"	"75.523"	"2851807"	"1301850"	"1549957"	"10990"
2013	"YR2013"	"Japan"	"JPN"	"92485"	"1246515.976"	"86.5755572346052"	"4.83434239522823"	"83.3319512195122"	"127445000"	"11182024"	"116262976"	"377962"
2013	"YR2013"	"Jordan"	"JOR"	""	"24389.217"	"99.6292649018131"	"0.0521346231825291"	"73.883"	"8413464"	"914964"	"7498500"	"89320"
2013	"YR2013"	"Kazakhstan"	"KAZ"	"6371"	"262846.893"	"92.4946161457424"	"0.00582038298120016"	"70.45"	"17035550"	"7317450"	"9718100"	"2724902"
2013	"YR2013"	"Kenya"	"KEN"	""	"13333.212"	"30.7120324470482"	"24.8422712933754"	"65.651"	"44826849"	"33712480"	"11114369"	"580370"
