Time	Time Code	Country Name	Country Code	GDP (current US$)
2013	YR2013	Guatemala	GTM	53851058955.2999
2013	YR2013	Guinea	GIN	8263033524.59884
2013	YR2013	Guinea-Bissau	GNB	1045790132.92157
2013	YR2013	Guyana	GUY	2990006533.77749
2013	YR2013	Haiti	HTI	8452509315.87722
2013	YR2013	Honduras	HND	18499710127.8385
2013	YR2013	Hong Kong SAR, China	HKG	275696879834.966
2013	YR2013	Hungary	HUN	135215704418.963
2013	YR2013	Iceland	ISL	15548321544.3776
2013	YR2013	India	IND	1856722121394.42
2013	YR2013	Indonesia	IDN	912524136718.018
2013	YR2013	Iran, Islamic Rep.	IRN	467414852231.297
2013	YR2013	Iraq	IRQ	234648370497.427
2013	YR2013	Ireland	IRL	239389340720.488
2013	YR2013	Isle of Man	IMN	6754330154.76004
2013	YR2013	Israel	ISR	292489185194.417
2013	YR2013	Italy	ITA	2130491320658.68
2013	YR2013	Jamaica	JAM	14274983015.9485
2013	YR2013	Japan	JPN	5155717056270.83
2013	YR2013	Jordan	JOR	33593843661.9718
2013	YR2013	Kazakhstan	KAZ	236634552078.102
2013	YR2013	Kenya	KEN	55096730083.3224
2013	YR2013	Kiribati	KIR	187153601.08129
2013	YR2013	Korea, Dem. People’s Rep.	PRK	..
2013	YR2013	Korea, Rep.	KOR	1305604981271.91
2013	YR2013	Kosovo	XKX	7073420074.34944
2013	YR2013	Kuwait	KWT	174161142454.161
2013	YR2013	Kyrgyz Republic	KGZ	7335027591.91628
2013	YR2013	Lao PDR	LAO	11942230508.334
2013	YR2013	Latvia	LVA	30254677296.9181
2013	YR2013	Lebanon	LBN	46014226807.5622
2013	YR2013	Lesotho	LSO	2526020566.36978
2013	YR2013	Liberia	LBR	1946500000
2013	YR2013	Libya	LBY	65502870173.7831
2013	YR2013	Liechtenstein	LIE	6391735893.83968
2013	YR2013	Lithuania	LTU	46417340374.5203
2013	YR2013	Luxembourg	LUX	61739352212.3049
2013	YR2013	Macao SAR, China	MAC	51552075901.5183
2013	YR2013	Macedonia, FYR	MKD	10817712138.9451
2013	YR2013	Madagascar	MDG	10601690871.7611
2013	YR2013	Malawi	MWI	5518901971.40057
2013	YR2013	Malaysia	MYS	323277158906.979
2013	YR2013	Maldives	MDV	3295011381.75405
2013	YR2013	Mali	MLI	13246412031.4145
2013	YR2013	Malta	MLT	10145114179.5008
2013	YR2013	Marshall Islands	MHL	190800800
2013	YR2013	Mauritania	MRT	5724227185.17783
2013	YR2013	Mauritius	MUS	12129642296.4425
2013	YR2013	Mexico	MEX	1274443078609.46
2013	YR2013	Micronesia, Fed. Sts.	FSM	316040600
2013	YR2013	Moldova	MDA	7985349731.46471
2013	YR2013	Monaco	MCO	..
2013	YR2013	Mongolia	MNG	12582122604.1921
2013	YR2013	Montenegro	MNE	4464261816.25066
2013	YR2013	Morocco	MAR	106825649872.108
2013	YR2013	Mozambique	MOZ	16018848990.669
2013	YR2013	Myanmar	MMR	60269734044.526
2013	YR2013	Namibia	NAM	12717790504.5002
2013	YR2013	Nauru	NRU	108601538.461538
2013	YR2013	Nepal	NPL	19271168018.482
2013	YR2013	Netherlands	NLD	866680000367.264
2013	YR2013	New Caledonia	NCL	..
2013	YR2013	New Zealand	NZL	190785204763.525
2013	YR2013	Nicaragua	NIC	10982972256.3787
2013	YR2013	Niger	NER	7667949382.35442
2013	YR2013	Nigeria	NGA	514966287206.505
2013	YR2013	Northern Mariana Islands	MNP	784000000
2013	YR2013	Norway	NOR	523502127659.574
2013	YR2013	Oman	OMN	78938881664.4993
2013	YR2013	Pakistan	PAK	231218567178.979
2013	YR2013	Palau	PLW	225269300
2013	YR2013	Panama	PAN	45599994000
2013	YR2013	Papua New Guinea	PNG	21261305413.2323
