Time	"Time Code"	"Country Name"	"Country Code"	"Children out of school"	"CO2"	"NR electricity"	"Life expectancy"	"Population"	"Urban population"	"Area"	"GDP"	"Compulsory education"	"Labor force"	"Agricultural land"
2013	"YR2013"	"Mauritania"	"MRT"	"27.6752490997314"	"0.676497971450799"	""	"62.711"	"3946170"	"49.306"	"1030700"	"1450.57794904371"	"9"	"49.3810005187988"	"38.5281847288251"
2013	"YR2013"	"Mauritius"	"MUS"	"3.9138400554657"	"3.23390958429369"	"79.3975069252078"	"74.0170731707317"	"1258653"	"41.222"	"2030"	"9637.00265000958"	"11"	"58.5800018310547"	"42.3645320197044"
2013	"YR2013"	"Mexico"	"MEX"	"1.16947996616364"	"4.00160249273419"	"82.683989963878"	"76.579"	"122535969"	"78.699"	"1943950"	"10400.5631082042"	"14"	"61.8660011291504"	"54.8908150929808"
2013	"YR2013"	"Micronesia, Fed. Sts."	"FSM"	""	"1.37907658482961"	""	"68.862"	"103702"	"22.355"	"700"	"3047.58442460126"	""	""	"31.4285714285714"
2013	"YR2013"	"Moldova"	"MDA"	"9.42008972167969"	"1.40453233128176"	"93.0305054553552"	"70.961"	"3558566"	"42.527"	"32880"	"2243.979662444"	"9"	"41.4710006713867"	"74.8479318734793"
2013	"YR2013"	"Monaco"	"MCO"	""	""	""	""	"37971"	"100"	"2"	""	"11"	""	""
2013	"YR2013"	"Mongolia"	"MNG"	"4.7056097984314"	"13.5069399642467"	"98.3067729083665"	"68.558"	"2869107"	"68.097"	"1553560"	"4385.37935468846"	"12"	"59.8499984741211"	"72.9356445840521"
2013	"YR2013"	"Montenegro"	"MNE"	""	"3.61855387978564"	"36.5272496831432"	"76.43"	"621207"	"65.137"	"13450"	"7186.43192406181"	"9"	"49.273998260498"	"16.5895910780669"
2013	"YR2013"	"Morocco"	"MAR"	"5.88442993164063"	"1.74672897248759"	"85.3520415524455"	"75.026"	"33824769"	"59.7"	"446300"	"3111.76288654102"	"9"	"49.2220001220703"	"68.5447008738517"
2013	"YR2013"	"Mozambique"	"MOZ"	"12.5357303619385"	"0.152038111591983"	"2.34306814367237"	"56.483"	"26434372"	"33.36"	"786380"	"605.985608081366"	""	"79.3140029907227"	"63.5189094330985"
2013	"YR2013"	"Myanmar"	"MMR"	""	"0.249963458388317"	"27.9578672327917"	"66.066"	"51448196"	"29.457"	"653080"	"1171.46447748189"	"5"	"66.390998840332"	"19.2732896429228"
2013	"YR2013"	"Namibia"	"NAM"	"9.43698978424072"	"1.13499516516154"	"4.43275732531931"	"61.982"	"2316520"	"44.756"	"823290"	"5490.04131391061"	"7"	"60.3419990539551"	"47.1389182426605"
2013	"YR2013"	"Nauru"	"NRU"	""	"4.06653728860549"	""	""	"10821"	"100"	"20"	"10036.1832050216"	"14"	""	"20"
2013	"YR2013"	"Nepal"	"NPL"	""	"0.237169786577315"	"0.284333238555587"	"69.126"	"27985310"	"17.815"	"143350"	"688.617278796698"	""	"83.8870010375977"	"28.7478200209278"
2013	"YR2013"	"Netherlands"	"NLD"	""	"10.3100627858175"	"83.3932924431863"	"81.3048780487805"	"16804432"	"89.187"	"33690"	"51574.489418462"	"12"	"64.5009994506836"	"54.8411991688929"
2013	"YR2013"	"New Caledonia"	"NCL"	""	"16.092239711739"	""	"77.1762108738893"	"263650"	"68.479"	"18280"	""	""	"63.0250015258789"	"10.0765864332604"
2013	"YR2013"	"New Zealand"	"NZL"	"2.22597002983093"	"7.53195740753247"	"25.6581532416503"	"81.4073170731707"	"4442100"	"86.221"	"263310"	"42949.3268417022"	"10"	"67.5699996948242"	"42.1784208727356"
2013	"YR2013"	"Nicaragua"	"NIC"	""	"0.765378513414715"	"47.657938986308"	"74.608"	"5945747"	"57.505"	"120340"	"1847.19804868568"	"7"	"65.6149978637695"	"42.0890809373442"
